,Name,URL,Nanodegree,Cost
0,Web Tooling & Automation,https://www.udacity.com/course/web-tooling-automation--ud892,None,Free Course
1,None,https://www.udacity.com/course/intro-to-machine-learning--ud120,None,None
2,Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,None,Free Course
3,None,https://www.udacity.com/course/intro-to-html-and-css--ud001,None,None
4,Get Your Startup Started,https://www.udacity.com/course/get-your-startup-started--ud806,None,Free Course
5,Swift for Beginners,https://www.udacity.com/course/swift-for-beginners--ud1022,None,Free Course
6,None,https://www.udacity.com/course/intro-to-algorithms--cs215,None,None
7,None,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,None,None
8,None,https://www.udacity.com/course/data-science-for-business-leaders--nd045,None,None
9,Intro to Progressive Web Apps,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,None,Free Course
10,Server-Side Swift,https://www.udacity.com/course/server-side-swift--ud1031,None,Free Course
11,None,https://www.udacity.com/course/java-programming-basics--ud282,None,None
12,Responsive Images,https://www.udacity.com/course/responsive-images--ud882,None,Free Course
13,None,https://www.udacity.com/course/data-science-for-business-leaders--nd045,None,None
14,Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,None,Free Course
15,Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651,None,Free Course
16,Advanced Operating Systems,https://www.udacity.com/course/advanced-operating-systems--ud189,None,Free Course
17,Spark,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,None,Free Course
18,Model Building and Validation,https://www.udacity.com/course/model-building-and-validation--ud919,None,Free Course
19,Mobile Design and Usability for Android,https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358,None,Free Course
20,Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,None,Free Course
21,None,https://www.udacity.com/course/robotics-software-engineer--nd209,None,None
22,Intro to DevOps,https://www.udacity.com/course/intro-to-devops--ud611,None,Free Course
23,None,https://www.udacity.com/course/intro-to-statistics--st101,None,None
24,Hybrid Cloud Fundamentals,https://www.udacity.com/course/hybrid-cloud-fundamentals--ud0321,None,Free Course
25,High Performance Computing,https://www.udacity.com/course/high-performance-computing--ud281,None,Free Course
26,None,https://www.udacity.com/courses/data-science-for-business-leaders--nd045,None,None
27,Segmentation and Clustering,https://www.udacity.com/course/segmentation-and-clustering--ud981,None,Free Course
28,WeChat Mini Program Development,https://www.udacity.com/course/wechat-mini-programs--ud667,None,Free Course
29,Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,None,Free Course
30,Introduction to Graduate Algorithms,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401,None,Free Course
31,Interactive 3D Graphics,https://www.udacity.com/course/interactive-3d-graphics--cs291,None,Free Course
32,JavaScript Design Patterns,https://www.udacity.com/course/javascript-design-patterns--ud989,None,Free Course
33,A/B Testing,https://www.udacity.com/course/ab-testing--ud257,None,Free Course
34,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187,None,Free Course
35,Intro to Point & Click App Development,https://www.udacity.com/course/intro-to-point-click-app-development--ud162,None,Free Course
36,None,https://www.udacity.com/courses/learn-sql--nd072,None,None
37,Software Analysis & Testing,https://www.udacity.com/course/software-analysis-testing--ud333,None,Free Course
38,Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244,None,Free Course
39,Android Basics: Networking,https://www.udacity.com/course/android-basics-networking--ud843,None,Free Course
40,AutoLayout,https://www.udacity.com/course/auto-layout--ud1026,None,Free Course
41,Artificial Intelligence,https://www.udacity.com/course/artificial-intelligence--ud954,None,Free Course
42,Intro to jQuery,https://www.udacity.com/course/intro-to-jquery--ud245,None,Free Course
43,Applied Cryptography,https://www.udacity.com/course/applied-cryptography--cs387,None,Free Course
44,Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501,None,Free Course
45,None,https://www.udacity.com/course/product-design--ud509,None,None
46,Software Development Process,https://www.udacity.com/course/software-development-process--ud805,None,Free Course
47,Networking for Web Developers,https://www.udacity.com/course/networking-for-web-developers--ud256,None,Free Course
48,App Monetization,https://www.udacity.com/course/app-monetization--ud518,None,Free Course
49,VR Interview Prep,https://www.udacity.com/course/vr-interview-prep--ud251,None,Free Course
50,Xcode Debugging,https://www.udacity.com/course/xcode-debugging--ud774,None,Free Course
51,Machine Learning Interview Preparation,https://www.udacity.com/course/machine-learning-interview-prep--ud1001,None,Free Course
52,Embedded Systems,https://www.udacity.com/course/embedded-systems--ud169,None,Free Course
53,Gradle for Android and Java,https://www.udacity.com/course/gradle-for-android-and-java--ud867,None,Free Course
54,Firebase Analytics: Android,https://www.udacity.com/course/firebase-analytics-android--ud354,None,Free Course
55,Shell Workshop,https://www.udacity.com/course/shell-workshop--ud206,None,Free Course
56,A/B Testing for Business Analysts,https://www.udacity.com/course/ab-testing--ud979,None,Free Course
57,Offline Web Applications,https://www.udacity.com/course/offline-web-applications--ud899,None,Free Course
58,Computer Networking,https://www.udacity.com/course/computer-networking--ud436,None,Free Course
59,High Performance Computer Architecture,https://www.udacity.com/course/high-performance-computer-architecture--ud007,None,Free Course
60,Big Data Analytics in Healthcare,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758,None,Free Course
61,UX Design for Mobile Developers,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,None,Free Course
62,Intro to iOS App Development with Swift,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,None,Free Course
63,None,https://www.udacity.com/courses/ai-for-business-leaders--nd054,None,None
64,Passwordless Login Solutions for iOS,https://www.udacity.com/course/passwordless-login-solutions-for-ios--ud1028,None,Free Course
65,None,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,None,None
66,AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014,None,Free Course
67,Android Basics: User Input,https://www.udacity.com/course/android-basics-user-input--ud836,None,Free Course
68,ES6 - JavaScript Improved,https://www.udacity.com/course/es6-javascript-improved--ud356,None,Free Course
69,None,https://www.udacity.com/course/learn-sql--nd072,None,None
70,Front End Frameworks,https://www.udacity.com/course/front-end-frameworks--ud894,None,Free Course
71,HTTP & Web Servers,https://www.udacity.com/course/http-web-servers--ud303,None,Free Course
72,Introduction to Operating Systems,https://www.udacity.com/course/introduction-to-operating-systems--ud923,None,Free Course
73,Developing Android Apps with Kotlin,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012,None,Free Course
74,Deploying a Hadoop Cluster,https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000,None,Free Course
75,Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,None,Free Course
76,Passwordless Login Solutions for Android,https://www.udacity.com/course/passwordless-login-solutions-for-android--ud357,None,Free Course
77,Authentication & Authorization: OAuth,https://www.udacity.com/course/authentication-authorization-oauth--ud330,None,Free Course
78,Data Visualization in Tableau,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,None,Free Course
79,UIKit Fundamentals,https://www.udacity.com/course/uikit-fundamentals--ud788,None,Free Course
80,Intel® Edge AI Fundamentals with OpenVINO™,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132,None,Free Course
81,Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810,None,Free Course
82,None,https://www.udacity.com/courses/intro-to-self-driving-cars--nd113,None,None
83,Design of Computer Programs,https://www.udacity.com/course/design-of-computer-programs--cs212,None,Free Course
84,Localization Essentials,https://www.udacity.com/course/localization-essentials--ud610,None,Free Course
85,Core ML: Machine Learning for iOS,https://www.udacity.com/course/core-ml--ud1038,None,Free Course
86,Managing Remote Teams with Upwork,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942,None,Free Course
87,Android Performance,https://www.udacity.com/course/android-performance--ud825,None,Free Course
88,Version Control with Git,https://www.udacity.com/course/version-control-with-git--ud123,None,Free Course
89,Firebase Analytics: iOS,https://www.udacity.com/course/firebase-analytics-ios--ud353,None,Free Course
90,None,https://www.udacity.com/course/learn-sql--nd072,None,None
91,Software Testing,https://www.udacity.com/course/software-testing--cs258,None,Free Course
92,iOS Networking with Swift,https://www.udacity.com/course/ios-networking-with-swift--ud421,None,Free Course
93,Android Interview Prep,https://www.udacity.com/course/android-interview-prep--ud241,None,Free Course
94,Full-Stack Interview Prep,https://www.udacity.com/course/full-stack-interview-prep--ud252,None,Free Course
95,None,https://www.udacity.com/course/new-android-fundamentals--ud851,None,None
96,Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188,None,Free Course
97,Software Debugging,https://www.udacity.com/course/software-debugging--cs259,None,Free Course
98,None,https://www.udacity.com/course/sql-for-data-analysis--ud198,None,None
99,Learn Swift Programming Syntax,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,None,Free Course
100,Intro to Descriptive Statistics,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827,None,Free Course
101,Introduction to TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190,None,Free Course
102,None,https://www.udacity.com/courses/robotics-software-engineer--nd209,None,None
103,None,https://www.udacity.com/course/introduction-to-python--ud1110,None,None
104,Statistics,https://www.udacity.com/course/statistics--st095,None,Free Course
105,None,https://www.udacity.com/course/monetization-strategy--nd037-3,None,None
106,Objective-C for Swift Developers,https://www.udacity.com/course/objective-c-for-swift-developers--ud1009,None,Free Course
107,Advanced Android with Kotlin,https://www.udacity.com/course/advanced-android-with-kotlin--ud940,None,Free Course
108,None,https://www.udacity.com/course/android-basics-user-interface--ud834,None,None
109,Firebase in a Weekend: Android,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,None,Free Course
110,None,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,None,None
111,iOS Interview Prep,https://www.udacity.com/course/ios-interview-prep--ud240,None,Free Course
112,Network Security,https://www.udacity.com/course/network-security--ud199,None,Free Course
113,Intro to Cloud Computing,https://www.udacity.com/course/intro-to-cloud-computing--ud080,None,Free Course
114,Intro to Data Science,https://www.udacity.com/course/intro-to-data-science--ud359,None,Free Course
115,Problem Solving with Advanced Analytics,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976,None,Free Course
116,Cyber-Physical Systems Design & Analysis,https://www.udacity.com/course/cyber-physical-systems-design-analysis--ud9876,None,Free Course
117,The MVC Pattern in Ruby,https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270,None,Free Course
118,Secure and Private AI,https://www.udacity.com/course/secure-and-private-ai--ud185,None,Free Course
119,None,https://www.udacity.com/course/robotics-software-engineer--nd209,None,None
120,What is Programming?,https://www.udacity.com/course/what-is-programming--ud994,None,Free Course
121,Scalable Microservices with Kubernetes,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615,None,Free Course
122,2D Game Development with libGDX,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405,None,Free Course
123,Intro to Relational Databases,https://www.udacity.com/course/intro-to-relational-databases--ud197,None,Free Course
124,App Marketing,https://www.udacity.com/course/app-marketing--ud719,None,Free Course
125,None,https://www.udacity.com/course/ai-for-business-leaders--nd054,None,None
126,How to Install Android Studio,https://www.udacity.com/course/how-to-install-android-studio--ud808,None,Free Course
127,Compilers: Theory and Practice,https://www.udacity.com/course/compilers-theory-and-practice--ud168,None,Free Course
128,"Computability, Complexity & Algorithms",https://www.udacity.com/course/computability-complexity-algorithms--ud061,None,Free Course
129,Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034,None,Free Course
130,Microsoft Power Platform,https://www.udacity.com/course/microsoft-power-platform--ud091,None,Free Course
131,Deploying Applications with Heroku,https://www.udacity.com/course/deploying-applications-with-heroku--ud272,None,Free Course
132,Grand Central Dispatch (GCD),https://www.udacity.com/course/grand-central-dispatch-gcd--ud576,None,Free Course
133,Database Systems Concepts & Design,https://www.udacity.com/course/database-systems-concepts-design--ud150,None,Free Course
134,Mobile Design and Usability for iOS,https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034,None,Free Course
135,Firebase in a Weekend: iOS,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351,None,Free Course
136,Browser Rendering Optimization,https://www.udacity.com/course/browser-rendering-optimization--ud860,None,Free Course
137,Linux Command Line Basics,https://www.udacity.com/course/linux-command-line-basics--ud595,None,Free Course
138,Kotlin for Android Developers,https://www.udacity.com/course/kotlin-for-android-developers--ud888,None,Free Course
139,Intro to Physics,https://www.udacity.com/course/intro-to-physics--ph100,None,Free Course
140,Refresh Your Resume,https://www.udacity.com/course/refresh-your-resume--ud243,None,Free Course
141,Engagement & Monetization | Mobile Games,https://www.udacity.com/course/engagement-monetization-mobile-games--ud407,None,Free Course
142,JavaScript Testing,https://www.udacity.com/course/javascript-testing--ud549,None,Free Course
143,Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250,None,Free Course
144,JavaScript Promises,https://www.udacity.com/course/javascript-promises--ud898,None,Free Course
145,Intro to Inferential Statistics,https://www.udacity.com/course/intro-to-inferential-statistics--ud201,None,Free Course
146,Kotlin Bootcamp for Programmers,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,None,Free Course
147,None,https://www.udacity.com/courses/ai-for-trading--nd880,None,None
148,Material Design for Android Developers,https://www.udacity.com/course/material-design-for-android-developers--ud862,None,Free Course
149,None,https://www.udacity.com/course/intro-to-data-analysis--ud170,None,None
150,Programming Languages,https://www.udacity.com/course/programming-languages--cs262,None,Free Course
151,How to Make a Platformer Using libGDX,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406,None,Free Course
152,Android Basics: Data Storage,https://www.udacity.com/course/android-basics-data-storage--ud845,None,Free Course
153,Dynamic Web Applications with Sinatra,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268,None,Free Course
154,Intro to AJAX,https://www.udacity.com/course/intro-to-ajax--ud110,None,Free Course
155,JavaScript and the DOM,https://www.udacity.com/course/javascript-and-the-dom--ud117,None,Free Course
156,Website Performance Optimization,https://www.udacity.com/course/website-performance-optimization--ud884,None,Free Course
157,Creating an Analytical Dataset,https://www.udacity.com/course/creating-an-analytical-dataset--ud977,None,Free Course
158,Data Visualization and D3.js,https://www.udacity.com/course/data-visualization-and-d3js--ud507,None,Free Course
159,Human-Computer Interaction,https://www.udacity.com/course/human-computer-interaction--ud400,None,Free Course
160,Machine Learning: Unsupervised Learning,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741,None,Free Course
161,Building High Conversion Web Forms,https://www.udacity.com/course/building-high-conversion-web-forms--ud890,None,Free Course
162,Object-Oriented JavaScript,https://www.udacity.com/course/object-oriented-javascript--ud711,None,Free Course
163,Asynchronous JavaScript Requests,https://www.udacity.com/course/asynchronous-javascript-requests--ud109,None,Free Course
164,Classification Models,https://www.udacity.com/course/classification-models--ud978,None,Free Course
165,None,https://www.udacity.com/courses/monetization-strategy--nd037-3,None,None
166,How to Make an iOS App,https://www.udacity.com/course/how-to-make-an-ios-app--ud607,None,Free Course
167,Data Science Interview Prep,https://www.udacity.com/course/data-science-interview-prep--ud944,None,Free Course
168,None,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,None,None
169,Software Architecture & Design,https://www.udacity.com/course/software-architecture-design--ud821,None,Free Course
170,Cyber-Physical Systems Security,https://www.udacity.com/course/cyber-physical-systems-security--ud279,None,Free Course
171,Configuring Linux Web Servers,https://www.udacity.com/course/configuring-linux-web-servers--ud299,None,Free Course
172,None,https://www.udacity.com/course/monetization-strategy--nd037-3,None,None
173,Differential Equations in Action,https://www.udacity.com/course/differential-equations-in-action--cs222,None,Free Course
174,None,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,None,None
175,Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600,None,Free Course
176,Writing READMEs,https://www.udacity.com/course/writing-readmes--ud777,None,Free Course
177,Intro to Psychology,https://www.udacity.com/course/intro-to-psychology--ps001,None,Free Course
178,Data Analysis and Visualization,https://www.udacity.com/course/data-analysis-and-visualization--ud404,None,Free Course
179,Eigenvectors and Eigenvalues,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104,None,Free Course
180,iOS Persistence and Core Data,https://www.udacity.com/course/ios-persistence-and-core-data--ud325,None,Free Course
181,None,https://www.udacity.com/course/ai-for-business-leaders--nd054,None,None
182,Self-Driving Fundamentals: Featuring Apollo ,https://www.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419,None,Free Course
183,None,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,None,None
184,None,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,None,None
185,None,https://www.udacity.com/course/ai-for-trading--nd880,None,None
186,Swift for Developers,https://www.udacity.com/course/swift-for-developers--ud1025,None,Free Course
187,Machine Learning,https://www.udacity.com/course/machine-learning--ud262,None,Free Course
188,Client-Server Communication,https://www.udacity.com/course/client-server-communication--ud897,None,Free Course
189,Introduction to Virtual Reality,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,None,Free Course
190,How to Build a Startup,https://www.udacity.com/course/how-to-build-a-startup--ep245,None,Free Course
191,Intro to Backend,https://www.udacity.com/course/intro-to-backend--ud171,None,Free Course
192,HTML5 Canvas,https://www.udacity.com/course/html5-canvas--ud292,None,Free Course
193,Rapid Prototyping,https://www.udacity.com/course/rapid-prototyping--ud723,None,Free Course
194,Android Basics: Multiscreen Apps,https://www.udacity.com/course/android-basics-multiscreen-apps--ud839,None,Free Course
195,Object Oriented Programming in Java,https://www.udacity.com/course/object-oriented-programming-in-java--ud283,None,Free Course
196,GT - Refresher - Advanced OS,https://www.udacity.com/course/gt-refresher-advanced-os--ud098,None,Free Course
197,None,https://www.udacity.com/courses/activation-and-retention-strategy--nd037-2,None,None
198,Responsive Web Design Fundamentals,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,None,Free Course
199,Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,None,Free Course
200,Advanced Android App Development,https://www.udacity.com/course/advanced-android-app-development--ud855,None,Free Course
201,Designing RESTful APIs,https://www.udacity.com/course/designing-restful-apis--ud388,None,Free Course
202,Intro to Theoretical Computer Science,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313,None,Free Course
203,Google Maps APIs,https://www.udacity.com/course/google-maps-apis--ud864,None,Free Course
204,None,https://www.udacity.com/course/intro-to-javascript--ud803,None,None
205,Intro to Information Security,https://www.udacity.com/course/intro-to-information-security--ud459,None,Free Course
206,Time Series Forecasting,https://www.udacity.com/course/time-series-forecasting--ud980,None,Free Course
207,Knowledge-Based AI: Cognitive Systems,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,None,Free Course
208,C++ For Programmers,https://www.udacity.com/course/c-for-programmers--ud210,None,Free Course
209,Web Accessibility,https://www.udacity.com/course/web-accessibility--ud891,None,Free Course
210,Full Stack Foundations,https://www.udacity.com/course/full-stack-foundations--ud088,None,Free Course
